name,count
hereditary cystatin C amyloid angiopathy,15
malignant granular cell esophageal tumor,14
childhood cerebellar neoplasm,14
cervical adenosquamous carcinoma,14
achromatopsia 3,14
microvillus inclusion disease,14
bladder squamous cell carcinoma,14
orofaciodigital syndrome IX,14
functioning pituitary adenoma,14
Scott syndrome,14
Cushing syndrome due to macronodular adrenal hyperplasia,14
McKusick–Kaufman syndrome,14
benign parathyroid gland neoplasm,14
thyroid angiosarcoma,14
testicular non-seminomatous germ cell cancer,14
benign neoplasm of pituitary gland,14
multilocular cystic clear cell renal cell carcinoma,14
endometrioid ovary carcinoma,14
methylmalonic aciduria and homocystinuria type cblF,14
lung hilum cancer,14
congenital myasthenic syndrome 4C,14
childhood acute myeloid leukemia,14
renal hypomagnesemia 5 with ocular involvement,14
central nervous system hematologic cancer,14
hydrops-ectopic calcification-moth-eaten skeletal dysplasia,14
nasal cavity carcinoma in situ,14
squamous cell papilloma of skin,14
Arts syndrome,14
nodular tenosynovitis,14
schwannoma of twelfth cranial nerve,14
"adult-onset proximal spinal muscular atrophy, autosomal dominant",14
X-linked distal spinal muscular atrophy type 3,14
brain stem angioblastoma,13
autosomal recessive spinocerebellar ataxia 14,13
Meckel syndrome 1,13
central nervous system adult germ cell tumor,13
Blau syndrome,13
testicular yolk sac tumor,13
MonoMAC,13
bladder benign neoplasm,13
granular corneal dystrophy type II,13
childhood brain stem glioma,13
vulva squamous cell carcinoma,13
neurilemmoma of the fifth cranial nerve,13
adenoid squamous cell carcinoma,13
choroid plexus carcinoma,13
small intestine carcinoma,13
cerebral angioma,13
oral squamous cell carcinoma,13
hypoparathyroidism-retardation-dysmorphism syndrome,13
brain glioblastoma multiforme,13
renal pelvis squamous cell carcinoma,13
autoimmune lymphoproliferative syndrome type 3,13
Galloway-Mowat syndrome,13
childhood acute lymphocytic leukemia,13
aneurysm-osteoarthritis syndrome,13
bone Ewing's sarcoma,13
familial erythrocytosis 2,13
COL4A1-related familial vascular leukoencephalopathy,13
primary cutaneous amyloidosis,13
creatine transporter deficiency,13
GM1 gangliosidosis type 1,13
gastric body carcinoma,13
orofaciodigital syndrome III,13
autosomal recessive nonsyndromic deafness 8,13
colon small cell carcinoma,13
central nervous system germ cell tumor,13
bladder carcinoma,13
deafness dystonia syndrome,13
childhood germ cell brain tumor,13
laryngeal carcinoma,13
appendix mucinous cystadenocarcinoma,13
central nervous system angiosarcoma,13
transient myeloproliferative syndrome,13
malignant triton tumor,13
breast squamous cell carcinoma,12
childhood mediastinal neurogenic tumor,12
adenomyoma of uterine corpus,12
penis squamous cell carcinoma,12
carcinoma of supraglottis,12
mitochondrial DNA depletion syndrome 1,12
kidney clear cell sarcoma,12
hereditary sensory and autonomic neuropathy type 2A,12
mitochondrial DNA depletion syndrome 5,12
differentiated thyroid carcinoma,12
iridogoniodysgenesis syndrome,12
sphenoid sinus squamous cell carcinoma,12
multiple intestinal atresia,12
autosomal dominant familial periodic fever,12
hypertension and brachydactyly syndrome,12
end stage renal failure,12
"Niemann-Pick disease, type C1",12
early infantile epileptic encephalopathy 9,12
pseudo-TORCH syndrome,12
Nasu-Hakola disease,12
hemangioma of subcutaneous tissue,12
eccrine sweat gland neoplasm,12
neuronal ceroid lipofuscinosis 6,12
breast mucinous carcinoma,12
spinocerebellar ataxia type 2,12
spinocerebellar ataxia type 7,12
primary mediastinal B-cell lymphoma,12
autosomal dominant nonsyndromic deafness 6,12
maturity-onset diabetes of the young type 8,12
Scheuermann's disease,12
central nervous system chondroma,12
NGLY1-deficiency,12
Gamstorp-Wohlfart syndrome,12
3-methylcrotonyl-CoA carboxylase deficiency,12
Laurin-Sandrow syndrome,12
arterial calcification of infancy,12
apocrine sweat gland neoplasm,12
kidney rhabdoid cancer,12
cerebral neuroblastoma,12
myofibrillar myopathy 9,12
bone benign neoplasm,12
autosomal recessive nonsyndromic deafness 15,12
angiokeratoma of Fordyce,12
gallbladder carcinoma,12
cervical carcinosarcoma,12
parathyroid transitional clear cell adenoma,12
malignant skin fibrous histiocytoma,12
breast carcinoma,12
synovium neoplasm,12
extragonadal nonseminomatous germ cell tumor,12
pharynx carcinoma in situ,12
nerve plexus neoplasm,11
Schnyder corneal dystrophy,11
myofibrillar myopathy 2,11
ABri amyloidosis,11
syndromic X-linked intellectual disability 94,11
hereditary sensory and autonomic neuropathy type 7,11
dilated cardiomyopathy 1J,11
epithelial basement membrane dystrophy,11
"spondylometaphyseal dysplasia, Kozlowski type",11
"desmoid disease, hereditary",11
congenital generalized lipodystrophy type 4,11
pineal region yolk sac tumor,11
mitochondrial complex I deficiency,11
ovarian cystadenoma,11
eccrine mixed tumor of skin,11
Miller syndrome,11
eccrine sweat gland cancer,11
Loeys-Dietz syndrome 2,11
localized epidermolysis bullosa simplex,11
hepatic osteogenic sarcoma,11
cervical adenoid cystic carcinoma,11
neuronal ceroid lipofuscinosis 3,11
kidney benign neoplasm,11
hypotrichosis 7,11
SLC39A8-CDG,11
PGM3 deficiency,11
apocrine sweat gland cancer,11
pancreatic intraductal papillary-colloid carcinoma,11
Bartholin's gland carcinoma,11
neuronal ceroid lipofuscinosis 4B,11
episodic ataxia type 1,11
nonsyndromic congenital nail disorder 3,11
ethmoid sinus squamous cell carcinoma,11
mitochondrial DNA depletion syndrome 8a,11
McKusick type metaphyseal dysplasia,11
conjunctival squamous cell carcinoma,11
cerebellopontine angle meningioma,11
prostate carcinoma,11
partial trisomy distal 4q,11
X-linked cone-rod dystrophy 1,11
Lenz microphthalmia syndrome,11
autosomal recessive Parkinson disease 14,11
gastric fundus carcinoma,11
rocker bottom foot,11
Charcot-Marie-tooth disease type 5,11
cone-rod dystrophy 2,11
gastric pylorus carcinoma,11
urinary bladder small cell neuroendocrine carcinoma,11
non-invasive bladder urothelial carcinoma,11
primary cutaneous adenoid cystic carcinoma,11
congenital disorder of glycosylation type IIm,11
congenital myasthenic syndrome 4A,11
TARP syndrome,11
gastric diffuse adenocarcinoma,11
bone epithelioid hemangioma,11
Joubert syndrome 1,11
pediatric CNS choriocarcinoma,11
hereditary hyperferritinemia with congenital cataracts,11
congenital myasthenic syndrome 11,11
head and neck squamous cell carcinoma,11
BIDS syndrome,11
syringocystadenoma papilliferum,11
platelet-type bleeding disorder 3,11
vulvar benign neoplasm,11
autosomal recessive osteopetrosis 6,11
T-cell childhood acute lymphocytic leukemia,11
congenital disorder of glycosylation type 2o,11
hypogonadotropic hypogonadism 12 with or without anosmia,11
CHIME syndrome,11
diffuse astrocytoma,11
Frank–Ter Haar syndrome,11
autosomal recessive osteopetrosis 2,11
Lytico-bodig disease,11
Waardenburg syndrome type 2E,11
kidney osteogenic sarcoma,11
uterine corpus adenofibroma,11
brachial plexus neoplasm,11
choriocarcinoma of ovary,11
pediatric CNS embryonal cell carcinoma,11
malignant leptomeningeal tumor,11
chronic NK-cell lymphocytosis,11
"platyspondylic lethal skeletal dysplasia, Torrance type",10
congenital diarrhea 5 with tufting enteropathy,10
mucopolysaccharidosis IX,10
gastroesophageal junction adenocarcinoma,10
spinocerebellar ataxia type 1,10
pancreatic colloid cystadenocarcinoma,10
ovarian large-cell neuroendocrine carcinoma,10
cancer of exocrine pancreas,10
hilar lung neoplasm,10
ureter transitional cell carcinoma,10
susceptibility to infection due to TYK2 deficiency,10
methylmalonic aciduria and homocystinuria type cblC,10
autosomal recessive nonsyndromic deafness 9,10
3-methylglutaconic aciduria type 1,10
glutathionuria,10
bladder urothelial carcinoma,10
generalized epidermolysis bullosa simplex,10
cholesterol-ester transfer protein deficiency,10
multicentric carpo-tarsal osteolysis with or without nephropathy,10
malignant conjunctival melanoma,10
chorea-acanthocytosis,10
nonsyndromic congenital nail disorder 7,10
autosomal recessive Robinow syndrome,10
Bjornstad syndrome,10
posterior pituitary gland neoplasm,10
maturity-onset diabetes of the young type 5,10
neuronal ceroid lipofuscinosis 2,10
mediastinal granular cell myoblastoma,10
Charcot-Marie-Tooth disease axonal type 2V,10
autosomal recessive early-onset Parkinson disease 6,10
malignant cornea melanoma,10
lumbar plexus neoplasm,10
isolated growth hormone deficiency type III,10
Aagenaes syndrome,10
syndromic X-linked intellectual disability 5,10
mucolipidosis type III gamma,10
adult malignant schwannoma,10
gallbladder mucinous carcinoma,10
3-methylglutaconic aciduria type 4,10
chondrodysplasia Blomstrand type,10
branchiooculofacial syndrome,10
skeletal muscle neoplasm,10
Harboyan syndrome,10
trachea carcinoma,10
sudden infant death syndrome,10
thyroid Hurthle cell carcinoma,10
familial male-limited precocious puberty,10
invasive tubular breast carcinoma,10
mixed lacrimal gland cancer,10
dyschromatosis symmetrica hereditaria,10
skin carcinoma,10
bone giant cell sarcoma,10
pyridoxal phosphate-responsive seizures,10
childhood multilocular cystic kidney neoplasm,10
coenzyme Q10 deficiency disease,10
X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency,10
mendelian susceptibility to mycobacterial diseases due to partial STAT1 deficiency,10
ataxia with oculomotor apraxia type 1,10
T cell deficiency,10
"progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 1",10
prostate small cell carcinoma,10
childhood kidney neoplasm,10
vaginal carcinosarcoma,10
laryngeal squamous cell carcinoma,10
hormone producing pituitary cancer,10
cervix squamous papilloma,10
skin amelanotic melanoma,10
autosomal dominant type IV Ehlers-Danlos syndrome,10
Fowler syndrome,10
vaginal carcinoma,10
RAS-associated autoimmune leukoproliferative disorder,10
esophagus small cell carcinoma,10
autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency,10
Charcot-Marie-Tooth disease recessive intermediate A,10
synovium cancer,10
malignant dermis tumor,10
vulval Paget's disease,10
malignant melanocytic neoplasm of the peripheral nerve sheath,10
hypotrichosis 6,10
small intestine carcinoid neuroendocrine tumor,10
testicular malignant germ cell cancer,10
supraglottis squamous cell carcinoma,10
adult pineal parenchymal tumor,10
pulmonary artery choriocarcinoma,10
anal squamous cell carcinoma,10
colon squamous cell carcinoma,10
Vici syndrome,10
ADan amyloidosis,10
bronchus adenoma,10
Loeys-Dietz syndrome 1,10
TMEM199-CDG,10
anal colloid adenocarcinoma,10
Oliver–McFarlane syndrome,10
woolly hair,10
Malouf syndrome,10
renal oncocytoma,10
Waardenburg syndrome type 4A,10
caspase-8 deficiency,10
helicoid peripapillary chorioretinal degeneration,10
Alzheimer disease 3,10
skin granular cell tumor,10
diaphyseal medullary stenosis-bone malignancy syndrome,10
duodenal gastrinoma,10
autosomal dominant deafness-onychodystrophy syndrome,10
subglottis carcinoma,9
choroidal melanoma,9
permanent neonatal diabetes mellitus,9
mendelian susceptibility to mycobacterial diseases due to complete IL12B deficiency,9
extrahepatic bile duct small cell adenocarcinoma,9
hair follicle neoplasm,9
breast medullary carcinoma,9
"3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia",9
spinal cord primitive neuroectodermal neoplasm,9
Fanconi anemia complementation group B,9
fatal infantile encephalocardiomyopathy,9
small intestine leiomyoma,9
T-cell adult acute lymphocytic leukemia,9
hereditary sensory neuropathy-deafness-dementia syndrome,9
glottis carcinoma,9
autosomal recessive osteopetrosis 4,9
benign ovarian sex cord-stromal tumor,9
malignant ovarian germ cell neoplasm,9
smooth muscle cancer,9
posterior urethra cancer,9
rectal cloacogenic carcinoma,9
succinic semialdehyde dehydrogenase deficiency,9
autosomal dominant Kenny-Caffey syndrome,9
Fanconi anemia complementation group C,9
chromosome 1p36 deletion syndrome,9
head and neck carcinoma,9
gallbladder squamous cell carcinoma,9
autosomal recessive osteopetrosis 5,9
vaginal benign neoplasm,9
small intestine lymphoma,9
rectosigmoid junction neoplasm,9
fallopian tube benign neoplasm,9
autoimmune lymphoproliferative syndrome type 2A,9
gallbladder small cell carcinoma,9
gastric cardia carcinoma,9
benign adult familial myoclonic epilepsy,9
Arakawa's syndrome I,9
microphthalmia-brain atrophy syndrome,9
CD3delta deficiency,9
endocrine organ benign neoplasm,9
amyotrophic lateral sclerosis type 10,9
nonsyndromic congenital nail disorder 1,9
"spondyloepimetaphyseal dysplasia, Sponastrime type",9
lung adenoid cystic carcinoma,9
childhood ovarian endodermal sinus tumor,9
McLeod syndrome,9
ampulla of Vater neoplasm,9
melanotic neurilemmoma,9
hemangioma of spleen,9
congenital bile acid synthesis defect 2,9
myocardium cancer,9
epithelial malignant thymoma,9
nonpapillary renal cell carcinoma,9
ampulla of Vater carcinoma,9
polycystic kidney disease 3,9
X-linked cone-rod dystrophy 2,9
subglottis neoplasm,9
adult spinal muscular atrophy,9
nerve root neoplasm,9
pineal region meningioma,9
Bowen-Conradi syndrome,9
hereditary mixed polyposis syndrome,9
cervix small cell carcinoma,9
prostate angiosarcoma,9
Mowat-Wilson syndrome,9
small intestine adenocarcinoma,9
epiglottis neoplasm,9
skin glomus tumor,9
juvenile astrocytoma,9
mitochondrial DNA depletion syndrome 13,9
skin hemangioma,9
AGAT deficiency,9
testicular sex cord-stromal neoplasm,9
skin papilloma,9
esophagus adenocarcinoma,9
proximal symphalangism,9
small bowel fibrosarcoma,9
spinal canal intradural extramedullary neoplasm,9
Congenital contractural arachnodactyly,9
trachea squamous cell carcinoma,9
Parkinsonian-pyramidal syndrome,9
mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,9
EAST syndrome,9
hyper-IgM syndrome type 2,9
cornea squamous cell carcinoma,9
renal hypomagnesemia 2,9
congenital myasthenic syndrome 13,9
Charcot-Marie-Tooth disease type 6,9
myofibrillar myopathy 5,9
malignant glandular tumor of peripheral nerve sheath,9
hereditary spastic paraplegia 52,9
hereditary spastic paraplegia 51,9
"T-cell immunodeficiency, congenital alopecia, and nail dystrophy",9
hereditary spastic paraplegia 50,9
"trichothiodystrophy 1, photosensitive",9
hereditary spastic paraplegia 47,9
autosomal dominant nonsyndromic deafness 12,9
Hemochromatosis type 4,9
lymphoepithelioma-like thymic carcinoma,9
rectum mucinous adenocarcinoma,9
hypotrichosis 2,9
"acromesomelic dysplasia, Grebe type",9
paroxysmal extreme pain disorder,9
properdin deficiency,9
nontoxic goiter,9
squamous cell carcinoma of the lung,9
dermoid cyst of skin,9
autosomal recessive nonsyndromic deafness 84A,9
ischiopatellar dysplasia,9
combined immunodeficiency due to OX40 deficiency,9
urethra squamous cell carcinoma,9
cerebral falx meningioma,9
methylmalonic acidemia cblA type,9
congenital disorder of glycosylation type IIc,9
congenital myasthenic syndrome 14,9
pyridoxine-dependent epilepsy,9
adult-onset autosomal dominant demyelinating leukodystrophy,9
multiple congenital anomalies-hypotonia-seizures syndrome 2,9
tricho-hepato-enteric syndrome,9
aromatase excess syndrome,9
rectal melanoma,9
Kufor-Rakeb syndrome,9
FG syndrome,9
congenital myasthenic syndrome 8,9
adult central nervous system primitive neuroectodermal neoplasm,9
anterior urethral cancer,9
autosomal recessive spinocerebellar ataxia 2,9
transient bullous dermolysis of the newborn,9
very long chain acyl-CoA dehydrogenase deficiency,9
methylmalonic acidemia cblB type,8
multiple congenital anomalies-hypotonia-seizures syndrome 3,8
brittle cornea syndrome,8
familial medullary thyroid carcinoma,8
"3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome",8
Wolfram syndrome 1,8
autonomic nervous system neoplasm,8
benign intermediate mesothelioma,8
isthmicoma,8
reproductive system disease,8
endocardium cancer,8
GRACILE syndrome,8
X-linked intellectual disability-psychosis-macroorchidism syndrome,8
Abruzzo–Erickson syndrome,8
Quebec platelet disorder,8
prostate colloid adenocarcinoma,8
acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome,8
pure hair-nail type ectodermal dysplasia,8
"spondyloepimetaphyseal dysplasia, Missouri type",8
penis verrucous carcinoma,8
frontal sinus neoplasm,8
spleen angiosarcoma,8
PCWH syndrome,8
mandibulofacial dysostosis-microcephaly syndrome,8
dermis tumor,8
bone angioendothelial sarcoma,8
cavernous hemangioma of colon,8
penis papillary carcinoma,8
ureter squamous cell carcinoma,8
pontocerebellar hypoplasia type 5,8
Bartter disease type 3,8
autosomal dominant Emery-Dreifuss muscular dystrophy 2,8
leukoencephalopathy-thalamus and brainstem anomalies-high lactate syndrome,8
"panhypopituitarism, X-linked",8
appendix carcinoma,8
X-linked mental retardation with cerebellar hypoplasia and distinctive facial appearance,8
Fanconi anemia complementation group D2,8
breast lobular carcinoma,8
X-linked colobomatous microphthalmia-microcephaly-intellectual disability-short stature syndrome,8
spindle cell squamous cell carcinoma,8
retinitis pigmentosa 12,8
breast adenoid cystic carcinoma,8
amyotrophic lateral sclerosis type 21,8
meninges hemangiopericytoma,8
peroxisomal acyl-CoA oxidase deficiency,8
Usher syndrome type 2C,8
autosomal recessive spinocerebellar ataxia 7,8
cerebral meningioma,8
polyomavirus-associated nephropathy,8
congenital stationary night blindness 1B,8
hyalinizing trabecular adenoma,8
jejunal somatostatinoma,8
congenital generalized lipodystrophy type 3,8
Stormorken syndrome,8
Noonan syndrome 2,8
glottis neoplasm,8
orofaciodigital syndrome VII,8
chromosome 3q29 microdeletion syndrome,8
chylomicron retention disease,8
congenital myasthenic syndrome 5,8
Mitis junctional epidermolysis bullosa,8
autosomal recessive spinocerebellar ataxia 19,8
large-cell lung carcinoma,8
Usher syndrome type 1C,8
small intestine leiomyosarcoma,8
dendritic cell sarcoma,8
transitional cell carcinoma of the ovary,8
nasal cavity neoplasm,8
small intestinal sarcoma,8
Absence of fingerprints-congenital milia syndrome,8
subacute myeloid leukemia,8
proliferative type fibrocystic change of breast,8
mucinous ovarian cystadenoma,8
uterine carcinosarcoma,8
"Polyostotic osteolytic dysplasia, hereditary expansile",8
diencephalic neoplasm,8
early infantile epileptic encephalopathy 50,8
childhood cerebellar astrocytic neoplasm,8
lacrimal system cancer,8
susceptibility to viral and mycobacterial infections,8
bladder adenocarcinoma,8
skin angiosarcoma,8
benign prostate phyllodes tumor,8
myofibrillar myopathy 6,8
smouldering myeloma,8
dysgerminoma of ovary,8
epithelioid cell synovial sarcoma,8
zygodactyly type 1,8
stress polycythemia,8
combined immunodeficiency due to STIM1 deficiency,8
Fukuyama congenital muscular dystrophy,8
subglottis squamous cell carcinoma,8
appendix carcinoid tumor,8
autosomal dominant non-syndromic intellectual disability 19,8
Peters plus syndrome,8
hyper-IgM syndrome type 5,8
malignant giant cell tumor of the tendon sheath,8
X-linked spinocerebellar ataxia type 4,8
Gordon-Holmes syndrome,8
achromatopsia 2,8
malignant anus melanoma,8
autosomal recessive nonsyndromic deafness 7,8
hypogonadotropic hypogonadism 1 with or without anosmia,8
beta-thalassemia major,8
lung mixed small cell and squamous cell carcinoma,8
autosomal dominant Parkinson disease 1,8
stromal predominant kidney Wilms' tumor,8
fleck corneal dystrophy,8
penis basaloid carcinoma,8
bone peripheral neuroepithelioma,8
cerebellar angioblastoma,8
breast epithelioid hemangioma,8
glottis squamous cell carcinoma,8
myofibrillar myopathy 4,8
"epilepsy, familial adult myoclonic, 2",8
Meier-Gorlin syndrome,8
Sorsby's fundus dystrophy,8
Beare-Stevenson cutis gyrata syndrome,8
neuronal ceroid lipofuscinosis 13,8
adult cerebellar neoplasm,8
autosomal dominant auditory neuropathy 1,8
CD25 deficiency,8
malignant cardiac germ cell tumor,8
adenosquamous pancreas carcinoma,8
WHIM syndrome,8
malignant gastric granular cell tumor,8
hereditary sensory neuropathy type 1B,8
congenital secretory sodium diarrhea 3,8
Wolcott-Rallison syndrome,8
malignant iris melanoma,8
Charcot-Marie-Tooth disease axonal type 2S,8
obstructive jaundice,8
Temtamy syndrome,8
epithelioid malignant peripheral nerve sheath tumor,8
congenital insensitivity to pain with anhidrosis,8
autosomal recessive nonsyndromic deafness 3,8
nemaline myopathy 5,8
Verruciform xanthoma,8
optic nerve astrocytoma,8
X-linked reticulate pigmentary disorder,8
autosomal recessive osteopetrosis 3,8
ovarian benign neoplasm,8
sella turcica neoplasm,8
colon Kaposi sarcoma,8
APP-related cerebral amyloid angiopathy,8
flat ductal epithelial atypia,8
anterior segment dysgenesis 7,8
arthrogryposis–renal dysfunction–cholestasis syndrome,8
"microphthalmia, syndromic 12",8
Acinetobacter infectious disease,8
giant axonal neuropathy 2,8
"neurogenic scapuloperoneal syndrome, Kaeser type",8
terminal osseous dysplasia with pigmentary defects,8
large bowel leiomyoma,8
nipple neoplasm,8
sternum cancer,8
penis carcinoma,8
mitochondrial DNA depletion syndrome 11,8
breast osteosarcoma,8
familial hypobetalipoproteinemia 1,8
ovarian small cell carcinoma,8
morpheaform basal cell carcinoma,8
congenital intrinsic factor deficiency,8
mediastinal osteogenic sarcoma,8
spinocerebellar ataxia type 15/16,8
Rienhoff syndrome,8
malignant mediastinal neurogenic neoplasm,8
ovarian papillary neoplasm,8
mixed epithelial tumor of ovary,8
Skene gland carcinoma,8
extragonadal germ cell cancer,8
exudative vitreoretinopathy 1,8
autosomal dominant vitreoretinochoroidopathy,8
spinocerebellar ataxia type 29,8
subglottic angioma,8
mixed testicular germ cell tumor,8
spastic ataxia 5,8
severe combined immunodeficiency due to LCK deficiency,8
fungal folliculitis,8
congenital disorder of glycosylation type IIa,8
platelet-type bleeding disorder 12,8
atypical lipomatous tumor,8
Barber-Say syndrome,8
external ear cancer,8
platelet-type bleeding disorder 11,8
fallopian tube endometrioid adenocarcinoma,8
benign neoplasm of exocrine pancreas,8
ovarian sex cord-stromal tumor,8
MEDNIK syndrome,8
X-linked mendelian susceptibility to mycobacterial diseases due to CYBB deficiency,8
benign neoplasm of ear,8
bladder sarcoma,7
rectum squamous cell carcinoma,7
age related macular degeneration 2,7
testicular granulosa cell tumor,7
childhood endodermal sinus tumor,7
Ogden syndrome,7
IVIC Syndrome,7
bladder clear cell adenocarcinoma,7
familial hemophagocytic lymphohistiocytosis 4,7
bladder signet ring cell adenocarcinoma,7
PAPA syndrome,7
sepiapterin reductase deficiency,7
autosomal recessive nonsyndromic deafness 2,7
mirror movement disorder,7
chief cell adenoma,7
valproic acid antenatal infection,7
autosomal recessive spinocerebellar ataxia 18,7
autosomal recessive spinocerebellar ataxia 16,7
choanal atresia-hearing loss-cardiac defects-craniofacial dysmorphism syndrome,7
external auditory meatus lipoma,7
gastric hemangioma,7
CAKUT2,7
coronin-1A deficiency,7
familial hemophagocytic lymphohistiocytosis 3,7
central nervous system leukemia,7
familial hemophagocytic lymphohistiocytosis 5,7
age related macular degeneration 7,7
adult acute lymphocytic leukemia,7
tonsil squamous cell carcinoma,7
leukocyte adhesion deficiency 3,7
CLOVES syndrome,7
amyotrophic lateral sclerosis-parkinsonism/dementia complex 1,7
mixed germ cell cancer,7
combined immunodeficiency due to ORAI1 deficiency,7
ornithine translocase deficiency,7
mixed cell type kidney Wilms' tumor,7
epithelial predominant Wilms' tumor,7
nasal vestibule papilloma,7
blastema predominant kidney Wilms' tumor,7
central nervous system fibrosarcoma,7
autosomal recessive spinocerebellar ataxia 15,7
hereditary spherocytosis type 1,7
systemic Epstein-Barr virus-positive T-cell lymphoproliferative disease of childhood,7
ossifying fibromyxoid tumour,7
chromosome 18p deletion syndrome,7
autosomal dominant non-syndromic intellectual disability 22,7
breast angiosarcoma,7
Usher syndrome type 1D,7
gastric gastrinoma,7
progressive familial heart block,7
Young-Simpson syndrome,7
cerebral cavernous angioma,7
large cell neuroendocrine carcinoma of the lung,7
autosomal recessive dyskeratosis congenita 1,7
anal neuroendocrine tumor,7
ulcer of lower limbs,7
aorta angiosarcoma,7
scrotal angioma,7
familial cold autoinflammatory syndrome 2,7
tetanus,7
fibroepithelial polyp of the anus,7
primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency,7
distal hereditary motor neuronopathy type 8,7
